zh-TW 台灣原詞,zh-HK 香港中文用詞,Remarks
聖克里斯多福([及和暨與]尼維斯)?,聖基茨島及尼維斯聯邦,
聖文森([及和暨與]格瑞那丁)?,聖文森特和格林內丁斯,
波士尼亞[及和暨與]?赫塞哥維[納那],波斯尼亞和黑塞哥维那,
阿拉伯聯合大公國,阿拉伯聯合酋長國,
聖多美[及和與]普林西比,聖多美和普林西比,
巴布亞紐幾內亞,巴布亞新畿內亞,
塞爾維亞[及和與]蒙特內哥羅,塞爾維亞和黑山,
安地卡[及和暨與]巴布達,安提瓜和巴布達,
荷屬安地列斯,荷屬安的列斯羣島,
千里達托貝哥,特立尼達和多巴哥,
(多明尼加聯邦|多米尼克),多米尼加,
多明尼加(共和國)?,多明尼加共和國,
沙烏地阿拉伯,沙地阿拉伯,
(維爾?京|處女)群島,維爾京羣島,
玻里尼西亞,玻利尼西亞,
哥斯大黎加,哥斯達黎加,
列支敦斯登,列支敦士登,
斯洛[維凡]尼亞,斯洛文尼亞,
索羅門群島,所羅門羣島,
茅利塔尼亞,毛里塔尼亞,
布吉納法索,布基納法索,
幾內亞比索,畿內亞比紹,
蘇伊士運河,蘇彝士運河,
克羅埃西亞,克羅地亞,
蒙特內哥羅,黑山,
伊斯坦堡,伊斯坦布爾,
(埃立特里亞|厄利垂亞),厄立特里亞,
塔吉克(?!(斯坦|族)),塔吉克斯坦,
吉里巴斯,基里巴斯,
坦尚尼亞,坦桑尼亞,
格瑞[納那]達,格林納達,
亞賽拜然,亞塞拜彊,
波士尼亞,波斯尼亞,
賽普勒斯,賽浦路斯,
[依衣]索[比匹]亞,埃塞俄比亞,
瓜地馬拉,危地馬拉,
宏都拉斯,洪都拉斯,
馬爾地夫,馬爾代夫,
(模里西斯|毛里求斯),毛里裘斯,
莫三比克,莫桑比克,
賴比瑞亞,利比里亞,
聖露西亞,聖盧西亞,
聖馬利諾,聖馬力諾,
吉里巴斯,基里巴斯,
史瓦濟蘭,斯威士蘭,
維吉尼亞,維珍尼亞,
塞拉耶佛,薩拉熱窩,
華倫西亞,瓦倫西亞,
瑞士邦聯,瑞士聯邦,
聖赫倫那,聖赫勒拿,
